title,startYear,runtimeMinutes,genres,averageRating,numVotes,region,language,tconst,decade
Second Coming of Mary,2011,81,Drama,7.4,32.0,US,en,tt1325019,2010
The Clockwise Family,2010,90,Drama,8.3,18.0,US,en,tt1329330,2010
Poker Night,2013,83,"Comedy,Crime",7.2,47.0,CA,en,tt1330613,2010
Sowing Justice,2010,\N,History,8.3,11.0,US,en,tt1330185,2010
The Knife of Don Juan,2013,99,"Comedy,Drama",7.3,44.0,US,en,tt1349485,2010
Ghost Bridge,2010,85,"Drama,Horror,Romance",7.2,11.0,US,en,tt1352675,2010
The Blue Seal,2010,123,"Action,Drama,Thriller",7.0,22.0,CA,en,tt1352672,2010
La taupe,2011,127,"Drama,Mystery,Thriller",7.0,209027.0,CA,en,tt1340800,2010
Captain of the Snapple Command,2013,92,Drama,7.4,14.0,US,en,tt1343387,2010
Magnus Rex,2012,164,"Action,Drama,Thriller",8.4,1781644.0,US,en,tt1345836,2010
Play On,2010,99,"Drama,Sport",7.2,27.0,US,en,tt1345506,2010
Judge Dredd,2012,95,"Action,Crime,Sci-Fi",7.1,288082.0,GB,en,tt1343727,2010
La Bataille De Brest-Litovsk,2010,138,"Action,Drama,History",7.4,10312.0,FR,fr,tt1343703,2010
How to Boil a Frog,2010,88,"Comedy,Documentary",7.4,66.0,CA,en,tt1455659,2010
Monsters Inc. 2,2013,104,"Adventure,Animation,Comedy",7.2,379343.0,US,en,tt1453405,2010
American Jihadist,2017,80,"Drama,History,Thriller",7.2,504.0,US,en,tt1454700,2010
The Conjuring,2013,112,"Horror,Mystery,Thriller",7.5,539316.0,US,en,tt1457767,2010
8 Dates with Paul,2010,77,"Comedy,Romance",7.1,8.0,CA,en,tt1446815,2010
Alien 0,2012,124,"Adventure,Mystery,Sci-Fi",7.0,629984.0,US,en,tt1446714,2010
Discover the Gift,2010,105,"Action,Adventure,Documentary",7.3,72.0,US,en,tt1445206,2010
Making a Killing,2010,65,"Crime,Documentary",7.8,12.0,GB,en,tt1476412,2010
Bite Me,2011,91,"Action,Comedy,Horror",7.7,11.0,US,en,tt1475205,2010
Operation Mongoose.,2011,\N,"Adventure,Comedy",7.1,20.0,CA,en,tt1474817,2010
Horizons,2013,124,"Action,Adventure,Sci-Fi",7.0,543955.0,US,en,tt1483013,2010
Aaseamah's Journey,2012,90,"Drama,Family",7.4,25.0,US,en,tt1482106,2010
Dans les yeux d'Enzo,2019,109,"Comedy,Drama,Romance",7.5,36028.0,FR,fr,tt1478839,2010
Illegal,2010,107,Drama,7.2,96.0,US,en,tt1480662,2010
Tucker & Dale vs. Evil,2010,89,"Comedy,Horror",7.5,189271.0,US,en,tt1465522,2010
Funhouse Mirror,2011,71,Comedy,7.6,11.0,US,en,tt1468842,2010
The Best Exotic Marigold Hotel for the Elderly & Beautiful,2011,124,"Comedy,Drama,Romance",7.2,98203.0,US,en,tt1412386,2010
Le premier qui l'a dit,2010,110,"Comedy,Drama,Romance",7.2,13155.0,FR,fr,tt1405810,2010
A Date with Fear,2011,90,"Comedy,Drama,Thriller",8.7,38.0,CA,en,tt1403990,2010
Memoirs,2010,113,"Drama,Romance",7.1,153375.0,US,en,tt1403981,2010
Campus Radio,2011,90,"Comedy,Drama,Music",7.8,36.0,CA,en,tt1409006,2010
13 Flowers of Nanjing,2011,146,"Drama,History,Romance",7.5,54848.0,US,en,tt1410063,2010
Star Trek XII,2013,132,"Action,Adventure,Sci-Fi",7.7,492934.0,US,en,tt1408101,2010
Mumbai Diaries,2010,100,Drama,7.0,13565.0,US,en,tt1433810,2010
13 Assassins,2010,141,"Action,Adventure,Drama",7.5,67624.0,CA,en,tt1436045,2010
Arthur Christmas in 3D,2011,97,"Adventure,Animation,Comedy",7.1,64035.0,US,en,tt1430607,2010
Silverlake Video: The Movie,2010,89,Comedy,8.2,22.0,US,en,tt1430508,2010
Untitled Mike Leigh Project,2010,129,"Comedy,Drama",7.4,30469.0,GB,en,tt1431181,2010
X-Men: Deadpool,2016,108,"Action,Comedy",8.0,1091481.0,US,en,tt1431045,2010
Discorde,2012,91,"Drama,Romance",7.2,14760.0,CA,en,tt1441940,2010
The Last Word,2011,92,"Drama,Romance,Sci-Fi",7.0,62641.0,GB,en,tt1439572,2010
Request,2010,126,"Drama,Romance",7.4,19403.0,US,en,tt1438298,2010
Le monde de Barney,2010,134,"Comedy,Drama",7.3,25860.0,CA,en,tt1423894,2010
Coming for You,2019,180,Drama,9.6,10.0,CA,en,tt12104216,2010
L.A.,2010,130,Comedy,8.3,24.0,US,en,tt1206083,2010
Near Fall,2013,\N,"Drama,Sport",7.5,107.0,US,en,tt1207922,2010
Claws of the Red Dragon,2019,54,Drama,7.6,46.0,CA,en,tt12075440,2010
The Education of Kieran,2011,100,"Comedy,Romance",7.6,38.0,GB,en,tt1215172,2010
Tinker Bell: A Winter Story,2012,75,"Animation,Family,Fantasy",7.0,13619.0,US,en,tt1217213,2010
The Bear and the Bow,2012,93,"Action,Adventure,Animation",7.1,431256.0,US,en,tt1217209,2010
Four Years Running,2010,\N,"Crime,Drama",8.9,102.0,US,en,tt1216485,2010
Academic,2013,51,Drama,8.5,15.0,US,en,tt1212055,2010
Dr. Strange,2016,115,"Action,Adventure,Fantasy",7.5,782598.0,US,en,tt1211837,2010
Being Green,2011,120,"Adventure,Comedy,Family",7.1,95627.0,US,en,tt1204342,2010
Untitled Gore Verbinski Animated Project,2011,107,"Action,Adventure,Animation",7.2,285498.0,US,en,tt1192628,2010
Harry Potter and the Deathly Hallows: Part 2 3D,2011,130,"Adventure,Family,Fantasy",8.1,920494.0,US,en,tt1201607,2010
Innocent,2010,98,"Action,Crime",7.7,120.0,US,en,tt1202232,2010
Daze,2016,\N,"Comedy,Drama,Musical",7.0,19.0,US,en,tt1235192,2010
Ytown,2010,89,"Crime,Documentary,History",8.6,66.0,US,en,tt1240548,2010
Félins d'Afrique,2011,89,"Adventure,Documentary",7.5,6662.0,CA,en,tt1223236,2010
The Dark Fields,2011,105,"Sci-Fi,Thriller",7.4,599019.0,US,en,tt1219289,2010
Hopes,2010,120,Drama,7.1,1339.0,US,en,tt1227524,2010
Mission: Impossible - Ghost Protocol: The IMAX Experience,2011,132,"Action,Adventure,Thriller",7.4,518389.0,US,en,tt1229238,2010
Fish Head,2010,116,"Drama,Fantasy,Horror",7.1,125670.0,US,en,tt1228987,2010
Phantom Ride,2019,69,\N,7.4,16.0,CA,en,tt12257956,2010
Begonia,2019,\N,Drama,8.8,6.0,CA,en,tt11807082,2010
Valencia,2016,103,"Drama,Horror,Mystery",7.2,345894.0,US,en,tt1179933,2010
Death,2019,162,"History,Horror",7.8,18.0,CA,en,tt11696218,2010
The Hobbit Part 2,2013,161,"Adventure,Drama,Fantasy",7.8,689133.0,US,en,tt1170358,2010
Marvel Iron Man 3,2013,130,"Action,Adventure,Sci-Fi",7.1,882467.0,US,en,tt1300854,2010
Kung Fu Panda: The Kaboom of Doom,2011,90,"Action,Adventure,Animation",7.2,306168.0,US,en,tt1302011,2010
The Mojave Experiment,2010,90,"Sci-Fi,Western",7.4,34.0,US,en,tt1301309,2010
I'm with Cancer,2011,100,"Comedy,Drama,Romance",7.6,339395.0,US,en,tt1306980,2010
Robot,2010,155,"Action,Sci-Fi,Thriller",7.1,29298.0,US,en,tt1305797,2010
Politics,2010,163,"Crime,Drama,Thriller",7.1,18503.0,US,en,tt1291465,2010
The Sun,2010,\N,"Drama,Thriller",7.2,11.0,US,en,tt1290476,2010
Another Life,2010,95,Drama,8.5,7.0,GB,en,tt1296161,2010
A Wild Ride,2010,120,Drama,8.4,9.0,US,en,tt1296464,2010
Genesis: Apes,2011,105,"Action,Drama,Sci-Fi",7.6,547128.0,US,en,tt1318514,2010
Untitled Steve James Project,2011,125,"Crime,Documentary",7.5,3594.0,US,en,tt1319744,2010
Silent E²,2010,100,"Comedy,Drama",8.2,6.0,US,en,tt1316077,2010
Dream Vol 1 The Name Is Rogells (Ruggells),2011,79,"Adventure,Romance",8.0,357.0,US,en,tt1316072,2010
Lost in Love,2010,91,Drama,8.6,13.0,US,en,tt1316061,2010
Evil Me,2010,95,"Adventure,Animation,Comedy",7.6,569931.0,US,en,tt1323594,2010
The Triumph of Dingus McGraw: Village Idiot,2010,94,Comedy,7.1,79.0,CA,en,tt1323004,2010
The Cabin in the Woods,2011,95,"Horror,Mystery,Thriller",7.0,439288.0,US,en,tt1259521,2010
America: Live at the London Palladium,2019,87,Musical,7.8,6.0,GB,en,tt12588262,2010
Interrogation of a Husband,2010,87,"Drama,Romance,Thriller",7.4,22.0,US,en,tt1258221,2010
Chicle Y Postales,2010,80,"Adventure,Drama,Family",7.9,36.0,US,en,tt1267378,2010
Zombie Nation,2010,147,"Action,Adventure,Comedy",7.1,18.0,US,en,tt1262983,2010
Résonances,2010,102,"Comedy,Crime,Music",7.2,9790.0,CA,en,tt1278449,2010
Helsreach: The Movie,2019,150,Sci-Fi,8.9,1367.0,CA,en,tt12820524,2010
Full Love,2010,108,"Action,Crime,Drama",7.4,1985.0,US,en,tt1286146,2010
One Night in Berlin,2011,76,Drama,7.2,21.0,GB,en,tt1270256,2010
X-Men Origins: Magneto,2011,131,"Action,Sci-Fi",7.7,712619.0,US,en,tt1270798,2010
Untitled Revenge Project,2013,90,"Crime,Drama,Thriller",7.1,77390.0,US,en,tt2359024,2010
Scammerhead,2014,108,"Comedy,Drama",8.4,104.0,CA,en,tt2357300,2010
Speciesism: The Movie,2013,94,"Comedy,Documentary",7.9,1339.0,US,en,tt2359814,2010
April,2014,\N,"Comedy,Drama,Sci-Fi",7.1,21.0,CA,en,tt2352376,2010
Saveurs indiennes,2013,104,"Drama,Romance",7.8,59448.0,CA,en,tt2350496,2010
Mourning Has Broken,2013,\N,Drama,8.2,63.0,CA,en,tt2356114,2010
Miles à faire,2012,95,Drama,7.9,93.0,FR,fr,tt2370268,2010
Short Term Twelve,2013,96,Drama,7.9,90539.0,US,en,tt2370248,2010
I Do Bidoo Bidoo,2012,120,"Comedy,Musical,Romance",8.0,61.0,US,en,tt2364616,2010
The Shape of Rex,2013,107,"Comedy,Drama,Romance",7.4,20.0,CA,en,tt2362728,2010
Flim: The Movie,2014,120,"Comedy,Crime,Drama",7.0,51.0,GB,en,tt2368533,2010
Enchanted Amore,2013,90,"Comedy,Drama,Romance",7.6,30.0,US,en,tt2330852,2010
Cold Outside,2013,90,"Drama,Music,Romance",7.8,29.0,US,en,tt2329566,2010
La ferme des humains,2014,88,Drama,8.4,13.0,CA,en,tt2333986,2010
The Vow,2013,112,"Drama,War",7.0,3215.0,US,en,tt2324384,2010
Peter O'Brien's Misery Loves Company,2012,79,Comedy,8.0,47.0,US,en,tt2326156,2010
Dark Fist,2012,80,"Action,Comedy",7.9,78.0,CA,en,tt2343932,2010
Only I...,2016,96,"Action,Drama",7.8,22.0,CA,en,tt2338110,2010
The Price of Salt,2015,118,"Drama,Romance",7.2,137992.0,US,en,tt2402927,2010
L'affaire Dreyfus,2019,132,"Drama,History,Thriller",7.2,20174.0,FR,fr,tt2398149,2010
Legends of Madagascar,2012,93,"Adventure,Comedy,Drama",8.7,12.0,US,en,tt2395476,2010
The Architect,2012,96,"Crime,Family,Thriller",7.2,42.0,CA,en,tt2401067,2010
Four Twenty,2012,95,Comedy,8.5,21.0,CA,en,tt2399900,2010
Calling,2013,\N,Comedy,8.1,12.0,CA,en,tt2417304,2010
Thirteen Downs,2012,98,"Drama,Family",9.8,8.0,CA,en,tt2413654,2010
Latin1 Test: àßëþÿ,2015,156,"Adventure,Animation,Family",7.3,121.0,US,en,tt2418644,2010
Untitled Dia de los Muertos Project,2017,105,"Adventure,Animation,Drama",8.4,558627.0,US,en,tt2380307,2010
Furieuse,2015,\N,"Comedy,Crime,Thriller",8.0,11.0,CA,en,tt2379388,2010
The First Winter,2013,73,"Comedy,Drama",7.4,16.0,CA,en,tt2382005,2010
Mission: Impossible 5,2015,131,"Action,Adventure,Thriller",7.4,401118.0,US,en,tt2381249,2010
1: I Am Alone,2014,170,"Action,Thriller",8.0,46095.0,US,en,tt2375559,2010
Take a Chance,2015,92,"Action,Drama,Romance",8.4,28.0,US,en,tt2375581,2010
Metalhead,2013,97,Drama,7.0,7662.0,FR,fr,tt2374902,2010
Marvel Avengers: Age of Ultron,2015,141,"Action,Adventure,Sci-Fi",7.3,901734.0,US,en,tt2395427,2010
Glasses of Oblivion,2012,59,"Drama,Mystery",7.3,13.0,CA,en,tt2393180,2010
How to Train Your Dragon 3,2019,104,"Action,Adventure,Animation",7.4,143513.0,US,en,tt2386490,2010
Waiting for Summer,2012,88,Drama,7.8,11.0,CA,en,tt2388811,2010
The Prospector's Curse,2012,93,Horror,8.2,33.0,CA,en,tt2388781,2010
Why Do Men Cheat? The Movie,2012,\N,Drama,8.9,14.0,US,en,tt2251282,2010
The Summer of George,2017,133,"Action,Adventure,Sci-Fi",7.4,697844.0,US,en,tt2250912,2010
Living the Dream,2014,\N,"Comedy,Drama",7.6,26.0,US,en,tt2248899,2010
American Autumn: an Occudoc,2012,76,"Crime,Documentary,News",7.3,29.0,US,en,tt2248816,2010
Hicks on Sticks,2012,115,"Adventure,Biography,Documentary",8.4,9.0,CA,en,tt2251349,2010
The Winter,2013,101,"Drama,Fantasy,Mystery",7.2,90.0,GB,en,tt2248634,2010
The Raid 2: Berandal,2014,150,"Action,Crime,Thriller",7.9,129073.0,CA,en,tt2265171,2010
Liminality,2014,73,"Comedy,Drama,Romance",7.7,34.0,CA,en,tt2264898,2010
The Day of the Dead,2014,95,"Adventure,Animation,Comedy",7.2,75600.0,US,en,tt2262227,2010
The Mighty King of Love,2013,95,"Comedy,Drama,Music",8.1,60.0,US,en,tt2262275,2010
Long Way North,2015,81,"Adventure,Animation,Drama",7.2,3797.0,CA,en,tt2262345,2010
The Pin,2013,85,Drama,8.5,75.0,CA,en,tt2262289,2010
Smitty: The Pied Piper,2012,65,"Drama,Thriller",7.0,9.0,US,en,tt2267526,2010
To Our Bright White Hearts,2016,\N,Drama,9.1,43.0,CA,en,tt2265631,2010
Kayan,2012,85,"Drama,Music",7.4,21.0,CA,en,tt2257996,2010
Ghost Ship,2014,\N,Horror,7.1,22.0,US,en,tt2257736,2010
Slug Street Scrappers 2,2012,49,"Action,Comedy",8.3,77.0,US,en,tt2257144,2010
The Last Movie,2012,103,Thriller,7.4,73.0,CA,en,tt2256867,2010
Makkhi,2012,145,"Action,Comedy,Drama",7.7,26405.0,US,en,tt2258337,2010
The Second Beginning,2012,51,"Comedy,Drama,Romance",9.0,116.0,US,en,tt2256739,2010
The Case of the Midnight Murderer,2013,84,"Animation,Comedy,Crime",7.0,12.0,CA,en,tt2260256,2010
Aviator,2016,87,"Action,Drama,Thriller",8.4,82.0,US,en,tt2259968,2010
I Think My Facebook Friend Is Dead,2012,97,Comedy,8.3,22.0,US,en,tt2226405,2010
CAFe CAFe,2013,80,"Comedy,Romance",7.0,14.0,CA,en,tt2223586,2010
Killers in the Forest,2012,90,Horror,7.9,22.0,CA,en,tt2229462,2010
Senior Cut Day: The Movie,2011,90,"Action,Horror,Thriller",7.2,18.0,US,en,tt2229359,2010
Rio 2096,2013,74,"Action,Adventure,Animation",7.1,1872.0,US,en,tt2231208,2010
Evil Has Come To Prey,2016,78,Thriller,7.6,21.0,CA,en,tt2222232,2010
Megalomania,2012,66,"Drama,Fantasy,Horror",8.0,21.0,CA,en,tt2219554,2010
A Kind of Wonderful Thing,2012,95,"Comedy,Drama,Romance",7.8,22.0,CA,en,tt2220006,2010
Jewel - The Essential Live Songbook: Live at Rialto Theatre,2011,121,Music,7.8,17.0,US,en,tt2238976,2010
What Does Abraham Lincoln Know?,2013,\N,"Action,Animation,Drama",7.4,49.0,US,en,tt2240030,2010
The Redemption of the Fish,2013,90,Drama,7.8,13.0,US,en,tt2238174,2010
A Drop of Love,2012,71,"Comedy,Drama,Romance",7.2,18.0,CA,en,tt2233937,2010
Henry the Fourth Part Two,2012,\N,Drama,7.1,32.0,GB,en,tt2233394,2010
The Farm,2015,100,Drama,7.0,86.0,US,en,tt2231349,2010
Welcome to Nowhere,2012,55,Fantasy,8.5,65.0,US,en,tt2231681,2010
The Long Road Home,2012,96,Drama,8.0,10.0,CA,en,tt2235534,2010
Powerful as God: The Children's Aid Societies of Ontario,2011,76,"Crime,Documentary,Drama",7.7,11.0,CA,en,tt2234353,2010
Secuestro Maldito,2012,111,"Action,Crime,Drama",9.2,15.0,US,en,tt2234185,2010
Prince William & Kate: The Royal Romance,2011,49,\N,7.0,37.0,GB,en,tt2234518,2010
